sample_id,lot_id,tool_id,sequence,pr_tone,column,value,flag_type,review_reason,action
S00436,L0021,T01,436,NEGATIVE,pattern_collapse_probability,0.102112,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00777,L0038,T01,777,POSITIVE,defect_probability,0.294786,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00240,L0012,T02,240,NEGATIVE,resist_line_cd_nm,40.82464,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00240,L0012,T02,240,NEGATIVE,scum_probability,0.446855,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00240,L0012,T02,240,NEGATIVE,pattern_collapse_probability,0.122787,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00240,L0012,T02,240,NEGATIVE,defect_probability,0.327531,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00625,L0031,T01,625,POSITIVE,scum_probability,0.909096,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00625,L0031,T01,625,POSITIVE,defect_probability,0.349089,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00376,L0018,T02,376,POSITIVE,scum_probability,0.824804,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00749,L0037,T01,749,NEGATIVE,scum_probability,0.412757,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00749,L0037,T01,749,NEGATIVE,defect_probability,0.510767,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00504,L0025,T01,504,POSITIVE,scum_probability,0.824259,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00504,L0025,T01,504,POSITIVE,defect_probability,0.324236,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
